sport_id,sport,event_id
Q108429,archery,Q117156626
Q108429,archery,Q117156627
Q108429,archery,Q117156624
Q108429,archery,Q117156625
Q108429,archery,Q117156628
Q180692,synchronized swimming,Q128687691
,,Q128645552
Q542,athletics,Q116495917
Q542,athletics,Q116495926
Q542,athletics,Q116495941
Q542,athletics,Q116495948
Q542,athletics,Q116495906
Q542,athletics,Q116495944
Q542,athletics,Q116495910
Q542,athletics,Q116495919
Q542,athletics,Q116495939
Q542,athletics,Q116495931
Q542,athletics,Q116496051
Q542,athletics,Q116496055
Q542,athletics,Q116496044
Q542,athletics,Q116495922
Q542,athletics,Q116496060
Q542,athletics,Q116496068
Q542,athletics,Q116496064
Q542,athletics,Q116496169
Q542,athletics,Q116496038
Q542,athletics,Q116496027
Q542,athletics,Q116496035
Q542,athletics,Q116496030
Q542,athletics,Q116495982
Q542,athletics,Q116495912
Q542,athletics,Q116495924
Q542,athletics,Q116495935
Q542,athletics,Q116495947
Q542,athletics,Q116495905
Q542,athletics,Q116495943
Q542,athletics,Q116495909
Q542,athletics,Q116495914
Q542,athletics,Q116495937
Q542,athletics,Q116495930
Q542,athletics,Q116496048
Q542,athletics,Q116496052
Q542,athletics,Q116496041
Q542,athletics,Q116495921
Q542,athletics,Q116496057
Q542,athletics,Q116496065
Q542,athletics,Q116496061
Q542,athletics,Q116496165
Q542,athletics,Q116496037
Q542,athletics,Q116496025
Q542,athletics,Q116496033
Q542,athletics,Q116496029
Q542,athletics,Q116496024
Q542,athletics,Q116496056
Q542,athletics,Q116495933
Q7291,badminton,Q116496075
Q7291,badminton,Q116495978
Q7291,badminton,Q116496072
Q7291,badminton,Q116495977
Q7291,badminton,Q116495980
Q5372,basketball,Q115799290
Q5372,basketball,Q116842353
Q5372,basketball,Q116842288
Q5372,basketball,Q116842306
Q32112,boxing,Q116495963
Q32112,boxing,Q116495968
Q32112,boxing,Q116495956
Q32112,boxing,Q116495974
Q32112,boxing,Q116495959
Q32112,boxing,Q116495952
Q32112,boxing,Q116495970
Q32112,boxing,Q116495960
Q32112,boxing,Q116495951
Q32112,boxing,Q116495967
Q32112,boxing,Q116495954
Q32112,boxing,Q116495973
Q32112,boxing,Q116495964
Q169737,breakdance,Q127505539
Q169737,breakdance,Q127505541
Q213934,canoeing and kayaking,Q117156595
Q213934,canoeing and kayaking,Q117156602
Q213934,canoeing and kayaking,Q117156610
Q213934,canoeing and kayaking,Q117156594
Q213934,canoeing and kayaking,Q117156601
Q213934,canoeing and kayaking,Q117156609
Q213934,canoeing and kayaking,Q117156592
Q213934,canoeing and kayaking,Q117156597
Q213934,canoeing and kayaking,Q117156598
Q213934,canoeing and kayaking,Q117156605
Q213934,canoeing and kayaking,Q117156607
Q213934,canoeing and kayaking,Q117156593
Q213934,canoeing and kayaking,Q117156596
Q213934,canoeing and kayaking,Q117156600
Q213934,canoeing and kayaking,Q117156603
Q213934,canoeing and kayaking,Q117156606
Q3609,road bicycle racing,Q117156497
Q3609,road bicycle racing,Q117156494
Q3609,road bicycle racing,Q117156496
Q3609,road bicycle racing,Q117156493
Q221635,track cycling,Q117156510
Q221635,track cycling,Q117156513
Q221635,track cycling,Q117156665
Q221635,track cycling,Q117156499
Q221635,track cycling,Q117156501
Q221635,track cycling,Q117156505
Q221635,track cycling,Q117156509
Q221635,track cycling,Q117156511
Q221635,track cycling,Q117156663
Q221635,track cycling,Q117156498
Q2215841,cycle sport,Q117156500
Q221635,track cycling,Q117156502
Q2215841,cycle sport,Q117156508
Q2215841,cycle sport,Q117156506
Q215184,BMX,Q117156492
Q215184,BMX,Q117156491
Q215184,BMX,Q117156490
Q215184,BMX,Q117156489
Q7735,diving,Q116496156
Q7735,diving,Q116496016
Q7735,diving,Q116496162
Q7735,diving,Q116496021
Q7735,diving,Q116496152
Q7735,diving,Q116496010
Q7735,diving,Q116496159
Q7735,diving,Q116496019
Q902378,equestrian sport,Q117156651
Q902378,equestrian sport,Q117156652
Q902378,equestrian sport,Q117156532
Q838781,eventing,Q118950676
Q902378,equestrian sport,Q117156653
Q902378,equestrian sport,Q117156654
Q12100,fencing,Q117156526
Q12100,fencing,Q117156527
Q12100,fencing,Q117156522
Q12100,fencing,Q117156523
Q12100,fencing,Q117156530
Q12100,fencing,Q117156531
Q12100,fencing,Q117156524
Q12100,fencing,Q117156525
Q12100,fencing,Q117156520
Q12100,fencing,Q117156521
Q12100,fencing,Q117156528
Q12100,fencing,Q117156529
Q1455,field hockey,Q115799683
Q1455,field hockey,Q115799682
Q2736,association football,Q77316266
Q2736,association football,Q77732190
Q5377,golf,Q124646857
Q5377,golf,Q124646840
Q326827,artistic gymnastics,Q117156645
Q326827,artistic gymnastics,Q117156643
Q326827,artistic gymnastics,Q117156650
Q326827,artistic gymnastics,Q117156641
Q326827,artistic gymnastics,Q117156637
Q326827,artistic gymnastics,Q117156648
Q326827,artistic gymnastics,Q117156640
Q326827,artistic gymnastics,Q117156638
Q326827,artistic gymnastics,Q117156644
Q326827,artistic gymnastics,Q117156642
Q326827,artistic gymnastics,Q117156647
Q326827,artistic gymnastics,Q117156639
Q326827,artistic gymnastics,Q117156646
Q326827,artistic gymnastics,Q117156649
Q61465,rhythmic gymnastics,Q124684432
Q61465,rhythmic gymnastics,Q124684424
Q465014,trampoline gymnastics,Q124796380
Q465014,trampoline gymnastics,Q124796388
Q8418,handball,Q121704904
Q8418,handball,Q121705755
Q11420,judo,Q116457923
Q11420,judo,Q116828864
Q11420,judo,Q116828889
Q11420,judo,Q116828905
Q11420,judo,Q116828917
Q11420,judo,Q116828929
Q11420,judo,Q116828942
Q11420,judo,Q116829522
Q11420,judo,Q116829533
Q11420,judo,Q116829546
Q11420,judo,Q116829563
Q11420,judo,Q116829576
Q11420,judo,Q116829589
Q11420,judo,Q116829601
Q11420,judo,Q116829973
Q32485,modern pentathlon,Q117156591
Q32485,modern pentathlon,Q117156589
Q159354,rowing,Q116820624
Q159354,rowing,Q116820660
Q159354,rowing,Q116820680
Q159354,rowing,Q116820628
Q159354,rowing,Q116820673
Q159354,rowing,Q116820691
Q159354,rowing,Q116820672
Q159354,rowing,Q116820626
Q159354,rowing,Q116820664
Q159354,rowing,Q116820678
Q159354,rowing,Q116820631
Q159354,rowing,Q116820675
Q159354,rowing,Q116820686
Q159354,rowing,Q116820668
Q270102,rugby sevens,Q115799997
Q270102,rugby sevens,Q115800200
Q14085739,sailing,Q117156633
Q14085739,sailing,Q117156631
Q14085739,sailing,Q117156635
Q14085739,sailing,Q117156662
Q14085739,sailing,Q117156632
Q14085739,sailing,Q117156630
Q14085739,sailing,Q117156634
Q14085739,sailing,Q117156661
Q14085739,sailing,Q117156660
Q14085739,sailing,Q117156636
Q206989,shooting sport,Q116496125
Q206989,shooting sport,Q116496135
Q206989,shooting sport,Q109317239
Q206989,shooting sport,Q116496116
Q206989,shooting sport,Q116496141
Q206989,shooting sport,Q116496119
Q206989,shooting sport,Q116496122
Q206989,shooting sport,Q116496132
Q206989,shooting sport,Q116496107
Q206989,shooting sport,Q116496114
Q206989,shooting sport,Q116496138
Q206989,shooting sport,Q116496118
Q206989,shooting sport,Q116496129
Q206989,shooting sport,Q116496112
Q206989,shooting sport,Q116496143
Q1541373,sport climbing,Q109311615
Q1541373,sport climbing,Q117156518
Q1541373,sport climbing,Q117156514
Q1541373,sport climbing,Q117156517
Q159992,surfing,Q124805258
Q159992,surfing,Q124805264
Q31920,swimming,Q117156579
Q31920,swimming,Q117156561
Q31920,swimming,Q117156571
Q31920,swimming,Q117156577
Q31920,swimming,Q117156581
Q31920,swimming,Q117156553
Q31920,swimming,Q117156559
Q31920,swimming,Q117156569
Q31920,swimming,Q117156557
Q31920,swimming,Q117156567
Q31920,swimming,Q117156563
Q31920,swimming,Q117156573
Q31920,swimming,Q117156565
Q31920,swimming,Q117156575
Q31920,swimming,Q117156586
Q31920,swimming,Q117156588
Q31920,swimming,Q117156583
Q31920,swimming,Q117156555
Q31920,swimming,Q117156578
Q31920,swimming,Q117156560
Q31920,swimming,Q117156570
Q31920,swimming,Q117156576
Q31920,swimming,Q117156580
Q31920,swimming,Q117156488
Q31920,swimming,Q117156558
Q31920,swimming,Q117156568
Q31920,swimming,Q117156556
Q31920,swimming,Q117156566
Q31920,swimming,Q117156562
Q31920,swimming,Q117156572
Q31920,swimming,Q117156564
Q31920,swimming,Q117156574
Q31920,swimming,Q117156585
Q31920,swimming,Q117156587
Q31920,swimming,Q117156582
Q31920,swimming,Q117156554
Q31920,swimming,Q117156584
Q3930,table tennis,Q117156620
Q3930,table tennis,Q117156622
Q3930,table tennis,Q117156617
Q3930,table tennis,Q117156621
Q3930,table tennis,Q117156616
Q36389,taekwondo,Q116496086
Q36389,taekwondo,Q116496093
Q36389,taekwondo,Q116496096
Q36389,taekwondo,Q116496104
Q36389,taekwondo,Q116496080
Q36389,taekwondo,Q116496083
Q36389,taekwondo,Q116496090
Q36389,taekwondo,Q116496100
Q847,tennis,Q117156618
Q847,tennis,Q117156656
Q847,tennis,Q117156659
Q847,tennis,Q117156655
Q847,tennis,Q117156657
Q10980,triathlon,Q109317240
Q10980,triathlon,Q124673049
Q10980,triathlon,Q124672679
Q1734,volleyball,Q116496148
Q4543,beach volleyball,Q116496145
Q1734,volleyball,Q115799687
Q1734,volleyball,Q115799688
Q7707,water polo,Q115799685
Q7707,water polo,Q115800199
Q83462,weightlifting,Q116495990
Q83462,weightlifting,Q116495994
Q83462,weightlifting,Q116495998
Q83462,weightlifting,Q116495984
Q83462,weightlifting,Q116496001
Q83462,weightlifting,Q116495986
Q83462,weightlifting,Q116495987
Q83462,weightlifting,Q116495991
Q83462,weightlifting,Q116495995
Q83462,weightlifting,Q116496006
Q42486,wrestling,Q117156543
Q42486,wrestling,Q117156545
Q42486,wrestling,Q117156549
Q42486,wrestling,Q117156551
Q42486,wrestling,Q117156552
Q42486,wrestling,Q117156539
Q42486,wrestling,Q117156534
Q42486,wrestling,Q117156535
Q42486,wrestling,Q117156536
Q42486,wrestling,Q117156537
Q42486,wrestling,Q117156538
Q42486,wrestling,Q117156533
Q42486,wrestling,Q117156540
Q42486,wrestling,Q117156541
Q42486,wrestling,Q117156542
Q42486,wrestling,Q117156544
Q42486,wrestling,Q117156547
Q42486,wrestling,Q117156550
